"%s: Bad command line argument(s)\n";"%s: Argumento(s) da linha de comandos incorrecto(s)\n"
"Proxima";""
"Psamathe";""
"Pu'uhonua";""
"Puana";""
"Puana-kau";""
"Puck";""
"Pulaha";""
"Pulastya";""
"Punarsvasu-2";""
"Punarvasu";""
"Punarvasu-1";""
"Punarvasu-2";""
"Puppis";"Puppis (Popa)"
"Purple Palace";"Palácio Púrpura"
"Purva Bhadrapad-1";""
"Purva Bhadrapad-2";""
"Purvabhadrapad";""
"Purvaphalguni";""
"Purvaphalguni-1";""
"Purvaphalguni-2";""
"Purvasadha-1";""
"Purvasdha";""
"Pushya";""
"Pyxis";"Pyxis (Bússola)"
"Quail";"Cauda"
"Quit";""
"Quit [CMD + Q]";"SaÍr [CMD + Q]"
"Quit [CTRL + Q]";"Saír [CTRL + Q]"
"Rabbit Tracks";""
"Race Track";""
"Ramparts";"Bastiões"
"Rasalas";""
"Rasalgethi";""
"Rasalhague";""
"Rastaban";""
"Re-enter password: ";""
"Real Time Rate";""
"Recording commands to script file:\n";"Comandos de gravação para o arquivo de script:\n"
"Red Rectangle";""
"Reflection Nebula Orion";""
"Regor";""
"Regulus";""
"Rendering";"Renderização"
"Replay Last Script";""
"Reset Password: ";""
"Restart program for";"Reiniciar o programa para"
"Resume Script";""
"Reticulum";"Reticulum (Retículo)"
"Retina Nebula";""
"Return to Current Time";"Regressar ao Tempo Actual"
"Revati";""
"Revolving Female";""
"Revolving Male";""
"Rhea";"Reia"
"Rigel";""
"Right Click";""
"Right Flag";"Bandeira Direita"
"Rigil Kent";""
"Ring Nebula";""
"River Turtle";"Tartaruga de Água-doce"
"Rohini";""
"Rolled Tongue";"Língua Enrolada"
"Rooftop";"Telhado"
"Room";"Divisão"
"Root";"Raiz"
"Rosalind";""
"Rosetta Nebula";""
"Rotanev";""
"Rotten Gourd";"Cabaça Podre"
"Ruchbah";""
"Rukbat";""
"Runners";""
"SEP";"SET"
"SN Remnant HH30";""
"Sabik";""
"Sadachbia";""
"Sadalbari";""
"Sadalmelik";""
"Sadalsuud";""
"Sadr";""
"Sagitta";"Sagitta (Flecha)"
"Sagittarius";"Sagittarius (Sagitário)"
"Saiph";""
"Salamander";""
"Sami";""
"Sao";""
"Sapt Rishi";""
"Sarva the Elk";""
"Satbhisaj";""
"Satellite Orbits";""
"Saturn";"Saturno"
"Save Current Configuration as Default: ";"Salvar Configuração Actual Como Padrão: "
"Save as default";"Salvar como Padrão"
"Save location";"Guardar a Localização"
"Scorpius";"Scorpius (Escorpião)"
"Screen";"Ecrã"
"Screen Resolution :";"Resolução do Ecrã :"
"Script Command";""
"Script commander";"Consola de Scripts"
"Sculptor";"Escultor (Escultor)"
"Scutum";"Scutum (Escudo)"
"Search for (eg. Saturn, Polaris, HP6218, Orion, M31):";"Procurar (ex. Saturno, Estrela Polar, HP6218, Orionte, M31):"
"Search for Object";""
"Seconds";"Segundos"
"Seginus";""
"Select Object";""
"Select and exit to run.";""
"Selected : ";"Seleccionado : "
"Selected Constellation Only";"Somente Constelações Seleccionadas"
"Selkis";"Escorpião"
"Serpens";"Serpens (Serpente)"
"Set Location ";"Definir a Localização "
"Set Time ";"Acertar a Hora "
"Set Time Zone: ";"Escolher Fuso Horário: "
"Set UI Locale: ";""
"Setebos";""
"Seven Excellencies";"Sete Excelências"
"Seven Little Girls";""
"Sextans";"Sextans (Sextante)"
"Sham";""
"Shaula";""
"Sheat";""
"Shedir";""
"Sheep";"Carneiro"
"Sheepfold";"Redil"
"Sheliak";""
"Sheratan";""
"Show: ";"Mostrar: "
"Shows: ";"Mostrar: "
"Shravan";""
"Shut Down: ";""
"Shwan";""
"Sidereal";""
"Sinope";""
"Sirius";""
"Situla";""
"Size: ";"Tamanho: "
"Skat";""
"Sky Culture: ";"Cultura celeste "
"Sky Language: ";"Língua celeste "
"Sky Support";""
"Sky Time At Start-up: ";"Tempo Estelar Inicial: "
"Sky Time: ";"Tempo Estelar: "
"Small Solar System Bodies";""
"Snake";""
"Solar System Body: ";"Corpo do Sistema Solar: "
"Solar System Observer";"Observador do Sistema Solar"
"Soldiers Market";"Mercado dos Soldados"
"South River";"Rio do Sul"
"South star";""
"Southern Ring Nebula";""
"Spacecraft";""
"Spear";"Lança"
"Spectral Type: ";"Tipo de Espectro: "
"Spica";""
"Spiral Galaxy Coma";""
"Spiral Galaxy Leo";""
"Spirograph Nebula";""
"Spring";"Primavera"
"Square Granary";"Celeiro Quadrado"
"Sravan";""
"Star";"Estrela"
"Star Labels";""
"Star Labels. Up to mag :";""
"Star Size Limit: ";""
"Star Twinkle. Amount :";"Cintilação Estelar. Quantidade :"
"Star Value Multiplier: ";""
"Stars";"Estrelas"
"Stars ";"Estrelas "
"Stars Forming M33";""
"Stars Forming SMC";""
"Stars of Water";"Estrelas de Água"
"Stephano";""
"Stomach";"Estômago"
"Stop Time";""
"Sualocin";""
"Subra";""
"Suhail";""
"Sulafat";""
"Sun";"Sol"
"Supernova Remnant";""
"Supreme Palace";"Palácio Supremo"
"Swati";""
"Sycorax";""
"Synchronize Internal Drive from USB Drive: ";""
"Syrma";""
"Tail";"Cauda"
"Take Screenshot";""
"Talitha";""
"Tania Australis";""
"Tania Borealis";""
"Tarantula Nebula";""
"Tarazed";""
"Taurus";"Taurus (Touro)"
"Taygeta";""
"Tegmine";""
"Tejat";""
"Telescopium";"Telescopium (Telescópio)"
"Tethys";"Tétis"
"Text Menu";""
"Thackerays Globules";""
"Thalassa";""
"The Asar Battlefield";""
"The Fishermen";""
"The Garnet Star";""
"The One Behind";""
"The Runner";""
"The Seven";"Os Sete"
"The Ski Runners";""
"Thebe";""
"Three Stars";"Três Estrelas"
"Three Steps";"Três Passos"
"Thuban";""
"Thunder and Lightning";"Trovão e Raio"
"Thunderbird";""
"Thunderbolt";"Relâmpago"
"Time Display Format: ";"Formatar o Mostrador Horário: "
"Time Zone :";"Fuso Horário :"
"Time and Date:";""
"Time speed : ";"Velocidade do tempo "
"Titan";"Titã"
"Titania";""
"Toad";"Dorado (Dourado)"
"Toggle Moon Scaling";""
"Toggle Script Recording";""
"Toggle Video Frame Recording";""
"Toggle fullscreen if possible.";""
"Toilet";"Sanitário"
"Track Selected Object";""
"Triangle";"Triângulo"
"Triangulum";"Triangulum (Triângulo)"
"Triangulum Australe";"Triangulum Australe (Triângulo Austral)"
"Trinculo";""
"Tripod";"Tripé"
"Triton";""
"Tropic Lines";""
"Truncated Projection";""
"Try `%s --help' for more information.\n";"Tente `%s --ajuda' para mais informações.\n"
"Tucana";"Tucana (Tucano)"
"Turtle";""
"Twinkling: ";"Cintilação: "
"Two Jaws";"Duas Mandíbulas"
"Two Placed Far Apart";""
"Two Poles";"Dois Pólos"
"Two Sunbeams";""
"Two in Front";""
"Type: ";"Tipo: "
"USB Script: ";""
"Umbriel";""
"Unselect";""
"Unukalhai";""
"Update me via Internet: ";"Actualize-me via Internet "
"Uranus";"Urano"
"Ursa Major";"Ursa Major (Ursa Maior)"
"Ursa Minor";"Ursa Minor (Ursa Menor)"
"Using System Default Time Zone";"Usando o Fuso Horário Padrão do Sistema"
"Uttarabhadrapad-1";""
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";""
"Van Maanen 2";""
"Vashista";""
"Vega";""
"Venus";"Vénus"
"Video";"Vídeo"
"Video Offset: ";""
"Video Shear: ";""
"Vindemiatrix";""
"Virgo";"Virgo (Virgem)"
"Vishakha";""
"Voice of Joy";"Voz Alegre"
"Volans";"Volans (Peixe Voador)"
"Vulpecula";"Vulpecula (Raposinho)"
"W";"O"
"Wall";"Muro"
"Wasat";""
"Wazn";""
"Weaving Girl";"Rapariga Tecendo"
"Well";"Poço"
"Western";""
"Western (color)";""
"Western (modern)";""
"Western Door";"Porta Ocidental"
"Wezen";""
"Willow";"Salgueiro"
"Wings";"Asas"
"Winnowing Basket";"Cesto de despalhar"
"Wolf's Mouth";""
"Woman's Bed";"Leito da Mulher"
"Woman's Cart";""
"Year";"Ano"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Sim"
"Yildun";""
"Zaniah";""
"Zaurak";""
"Zavijava";""
"Zibal";""
"Zoom Duration: ";"Duração do Zoom "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";""
"Zoom out (planet and satellites views)";""
"Zoom to selected object";""
"Zosma";""
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"Mudar para aplicar."
"kly";""
"ly";""
