"%s: Bad command line argument(s)\n";"%s: Foutieve parameter(s) voor opdrachtregel\n"
"Shows: ";"Toon: "
"Shravan";""
"Shut Down: ";""
"Shwan";""
"Sidereal";""
"Sinope";""
"Sirius";""
"Situla";""
"Size: ";"Grootte: "
"Skat";""
"Sky Culture: ";"Cultuur van hemelkoepel: "
"Sky Language: ";"Taal van hemelkoepel: "
"Sky Support";""
"Sky Time At Start-up: ";"Hemeltijd bij opstarten: "
"Sky Time: ";"Hemeltijd: "
"Small Solar System Bodies";""
"Snake";""
"Solar System Body: ";"Hemellichaam zonnestelsel: "
"Solar System Observer";"Bekijk zonnestelsel"
"Soldiers Market";"Soldatenmarkt"
"South River";"Zuidelijke Rivier"
"South star";""
"Southern Ring Nebula";""
"Spacecraft";""
"Spear";"Speer"
"Spectral Type: ";"Spectraaltype: "
"Spica";""
"Spiral Galaxy Coma";""
"Spiral Galaxy Leo";""
"Spirograph Nebula";""
"Spring";"Veer"
"Square Granary";"Vierkante Korenschuur"
"Sravan";""
"Star";"Ster"
"Star Labels";""
"Star Labels. Up to mag :";""
"Star Size Limit: ";""
"Star Twinkle. Amount :";"Fonkelen van sterren. Intensiteit :"
"Star Value Multiplier: ";""
"Stars";"Sterren"
"Stars ";"Sterren "
"Stars Forming M33";""
"Stars Forming SMC";""
"Stars of Water";"Sterren van water"
"Stephano";""
"Stomach";"Maag"
"Stop Time";""
"Sualocin";""
"Subra";""
"Suhail";""
"Sulafat";""
"Sun";"Zon"
"Supernova Remnant";""
"Supreme Palace";"Opperste paleis"
"Swati";""
"Sycorax";""
"Synchronize Internal Drive from USB Drive: ";""
"Syrma";""
"Tail";"Staart"
"Take Screenshot";""
"Talitha";""
"Tania Australis";""
"Tania Borealis";""
"Tarantula Nebula";""
"Tarazed";""
"Taurus";"Stier"
"Taygeta";""
"Tegmine";""
"Tejat";""
"Telescopium";"Telescoop"
"Text Menu";""
"Thackerays Globules";""
"Thalassa";""
"The Asar Battlefield";""
"The Fishermen";""
"The Garnet Star";""
"The One Behind";""
"The Runner";""
"The Seven";"De Zeven"
"The Ski Runners";""
"Thebe";""
"Three Stars";"Drie Sterren"
"Three Steps";"Drie Stappen"
"Thuban";""
"Thunder and Lightning";"Donder en Bliksem"
"Thunderbird";""
"Thunderbolt";"Bliksemschicht"
"Time Display Format: ";"Tijdsweergave : "
"Time Zone :";"Tijdzone :"
"Time and Date:";""
"Time speed : ";"Tijdsnelheid : "
"Titania";""
"Toad";"Zwaardvis"
"Toggle Moon Scaling";""
"Toggle Script Recording";""
"Toggle Video Frame Recording";""
"Toggle fullscreen if possible.";""
"Track Selected Object";""
"Triangle";"Driehoek"
"Triangulum";"Driehoek"
"Triangulum Australe";"Zuiderdriehoek"
"Trinculo";""
"Tripod";"Driepikkel"
"Triton";""
"Tropic Lines";""
"Truncated Projection";""
"Try `%s --help' for more information.\n";"Typ `%s --help' voor meer informatie.\n"
"Tucana";"Toekan"
"Turtle";""
"Twinkling: ";"Fonkelen: "
"Two Jaws";"Twee Kaken"
"Two Placed Far Apart";""
"Two Poles";"Twee Palen"
"Two Sunbeams";""
"Two in Front";""
"USB Script: ";""
"Umbriel";""
"Unselect";""
"Unukalhai";""
"Update me via Internet: ";"Update programma via het internet: "
"Ursa Major";"Grote Beer"
"Ursa Minor";"Kleine Beer"
"Using System Default Time Zone";"Gebruikt standaard tijdzone van het systeem"
"Uttarabhadrapad-1";""
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";""
"Van Maanen 2";""
"Vashista";""
"Vega";""
"Vela";"Zeilen"
"Video Offset: ";""
"Video Shear: ";""
"Vindemiatrix";""
"Virgo";"Maagd"
"Vishakha";""
"Voice of Joy";"Stem der Vreugde"
"Volans";"Vliegende Vis"
"Vulpecula";"Vosje"
"Wall";"Muur"
"Wasat";""
"Wazn";""
"Weaving Girl";"Weefster"
"Well";"Bron"
