"%s: Bad command line argument(s)\n";"%s: Nesprávne argumenty príkazu\n"
"Search for (eg. Saturn, Polaris, HP6218, Orion, M31):";"Hľadať (napr.: Venuša, Polaris, HP6218, Orión, M31):"
"Search for Object";""
"Seconds";"sekundy"
"Seginus";""
"Select Object";""
"Select and exit to run.";"Vybrať. Po ukončení sa spustí."
"Selected : ";"Zvolené : "
"Selected Constellation Only";"Iba vybrané súhvezdia"
"Serpens";"Had"
"Set Location ";"Nastav umiestnenie "
"Set Time ";"Nastav čas "
"Set Time Zone: ";"Nastav časovú zónu: "
"Set UI Locale: ";"Nastav jazyk pre UI: "
"Setebos";""
"Seven Excellencies";"Sedem Excelencií"
"Seven Little Girls";"Sedem malých dievčat"
"Sextans";"Sextant"
"Sham";""
"Shaula";""
"Sheat";""
"Shedir";""
"Sheep";"Ovca"
"Sheepfold";"Salaš"
"Sheliak";""
"Sheratan";""
"Show: ";"Ukázať: "
"Shows: ";"Ukázať: "
"Shravan";""
"Shut Down: ";"Vypnúť: "
"Shwan";""
"Sidereal";"Siderický"
"Sinope";""
"Sirius";""
"Situla";""
"Size: ";"Veľkosť: "
"Skat";""
"Sky Culture: ";"Kultúra (týka sa súhvezdí): "
"Sky Language: ";"Jazyk pre oblohu: "
"Sky Support";""
"Sky Time At Start-up: ";"čas oblohy na začiatku: "
"Sky Time: ";"Čas oblohy: "
"Small Solar System Bodies";""
"Snake";"Had"
"Solar System Body: ";"Teleso Slnečnej sústavy: "
"Solar System Observer";"Pozorovateľ Slnečnej sústavy"
"Soldiers Market";"Vojenský trh"
"South River";"Južná rieka"
"South star";"Južná hviezda"
"Southern Ring Nebula";""
"Spacecraft";""
"Spear";"Kopija"
"Spectral Type: ";"Spektrálny typ: "
"Spica";""
"Spiral Galaxy Coma";"Špirálová galaxia Coma"
"Spiral Galaxy Leo";"Špirálová galaxia Lev"
"Spirograph Nebula";""
"Spring";"Prameň"
"Square Granary";"Štvorcová sýpka"
"Sravan";""
"Star";"Hviezda"
"Star Labels";""
"Star Labels. Up to mag :";""
"Star Size Limit: ";""
"Star Twinkle. Amount :";"Mihotanie hviezd. Rozsah:"
"Star Value Multiplier: ";"Faktor jasu hviezd "
"Stars";"Hviezdy"
"Stars ";"Hviezdy "
"Stars Forming M33";""
"Stars Forming SMC";""
"Stars of Water";"Vodné hviezdy"
"Stephano";""
"Stomach";"Žalúdok"
"Stop Time";""
"Sualocin";""
"Subra";""
"Suhail";""
"Sulafat";""
"Sun";"Slnko"
"Supernova Remnant";"Zvyšky supernovy"
"Supreme Palace";"Hlavný palác"
"Swati";""
"Sycorax";""
"Synchronize Internal Drive from USB Drive: ";""
"Syrma";""
"Tail";"Chvost"
"Take Screenshot";""
"Talitha";""
"Tania Australis";""
"Tania Borealis";""
"Tarantula Nebula";"Hmlovina Tarantula"
"Tarazed";""
"Taurus";"Býk"
"Taygeta";""
"Tegmine";""
"Tejat";""
"Telescopium";"Ďalekohľad"
"Text Menu";""
"Thackerays Globules";""
"Thalassa";""
"The Asar Battlefield";"Bojisko Azarov"
"The Fishermen";"Rybári"
"The Garnet Star";""
"The One Behind";"Jeden za"
"The Runner";""
"The Seven";"Sedmička"
"The Ski Runners";"Bežkári"
"Thebe";""
"Three Stars";"Tri hviezdy"
"Three Steps";"Tri schody"
"Thuban";""
"Thunder and Lightning";"Hrom a blesk"
"Thunderbird";"Vták búrlivák"
"Thunderbolt";"Blesk"
"Time Display Format: ";"Formát zobrazovania času: "
"Time Zone :";"Časová zóna :"
"Time and Date:";""
"Time speed : ";"Rýchlosť plynutia času : "
"Toad";"Mečiar"
"Toggle Moon Scaling";""
"Toggle Script Recording";""
"Toggle Video Frame Recording";""
"Toggle fullscreen if possible.";""
"Toilet";"Záchod"
"Track Selected Object";""
"Triangle";"Trojuholník"
"Triangulum";"Trojuholník"
"Triangulum Australe";"Južný trujuholník"
"Trinculo";""
"Tripod";"Trojnožka"
"Tropic Lines";""
"Truncated Projection";"Osekaná projekcia"
"Try `%s --help' for more information.\n";"Viac informácií získate príkazom `%s --help'.\n"
"Tucana";"Tukan"
"Turtle";"Korytnačka"
"Twinkling: ";"Mihotanie: "
"Two Jaws";"Dvoje čeľuste"
"Two Placed Far Apart";"Dva umiestnené ďaleko od seba"
"Two Poles";"Dva póly"
"Two Sunbeams";"Dva slnečné lúče"
"Two in Front";"Dva vpredu"
"Type: ";"Typ: "
"USB Script: ";"USB skript: "
"Unselect";""
"Unukalhai";""
"Update me via Internet: ";"Aktualizuj cez internet: "
"Uranus";"Urán"
"Ursa Major";"Veľká medvedica"
"Ursa Minor";"Malá medvedica"
"Using System Default Time Zone";"Používam systémom predvolenú časovú zónu"
"Uttarabhadrapad-1";""
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";""
"Van Maanen 2";""
"Vashista";""
"Vega";""
"Vela";"Plachty"
"Venus";"Venuša"
"Video Offset: ";""
"Video Shear: ";""
"Vindemiatrix";""
"Virgo";"Panna"
"Vishakha";""
"Voice of Joy";"Hlas radosti"
"Volans";"Lietajúca ryba"
"Vulpecula";"Líška"
"W";"Západ"
"Wall";"Stena"
"Wasat";""
"Wazn";""
"Weaving Girl";"Tkáčka"
"Well";"Jama"
"Western";"Západná"
"Western (color)";"Západ (farebný)"
"Western (modern)";"Západ (súčasný)"
"Western Door";"Západné dvere"
"Wezen";""
"Willow";"Vŕba"
"Wings";"Krídla"
"Winnowing Basket";"Preosievací kôš"
"Wolf's Mouth";"Vlčia tlama"
"Woman's Bed";"Posteľ ženy"
"Woman's Cart";"Ženský kočiar"
"Year";"rok"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Áno"
"Yildun";""
"Zaniah";""
"Zaurak";""
"Zavijava";""
"Zibal";""
"Zoom Duration: ";"Trvanie zväčšenia: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";""
"Zoom out (planet and satellites views)";""
"Zoom to selected object";""
"Zosma";""
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"aby sa zmeny použili."
"kly";""
"ly";""
