"%s: Bad command line argument(s)\n";"%s: Kļūdains komandrindas arguments(ti)\n"
"Star Value Multiplier: ";"Zvaigžņlieluma reizinātājs: "
"Stars";"Zvaigznes"
"Stars ";"Zvaigznes "
"Stars Forming M33";""
"Stars Forming SMC";""
"Stars of Water";"Ūdens Zvaigznes"
"Stephano";""
"Stomach";"Vēders"
"Stop Time";"Iestatīt laiku "
"Sualocin";"Saglabāt vietu"
"Subra";"Svari"
"Suhail";"Aste"
"Sulafat";""
"Sun";"Saule"
"Supernova Remnant";""
"Supreme Palace";"Augstā Pils"
"Swati";""
"Sycorax";"Krāsns"
"Synchronize Internal Drive from USB Drive: ";""
"Syrma";"Lira"
"Tail";"Aste"
"Take Screenshot";""
"Talitha";"Titāns"
"Tania Australis";"Dienvidu Vainags"
"Tania Borealis";"Ziemeļu Vainags"
"Tarantula Nebula";""
"Tarazed";""
"Taurus";"Vērsis"
"Taygeta";""
"Tegmine";"Dvīņi"
"Tejat";"Sirds"
"Telescopium";"Teleskops"
"Tethys";"Tētija"
"Text Menu";""
"Thackerays Globules";""
"Thalassa";""
"The Asar Battlefield";""
"The Fishermen";"Septiņi"
"The Garnet Star";"Trīs Zvaigznes"
"The One Behind";"Septiņi"
"The Runner";""
"The Seven";"Septiņi"
"The Ski Runners";""
"Thebe";"Fēbs"
"Three Stars";"Trīs Zvaigznes"
"Three Steps";"Trīs soļi"
"Thuban";"Tukans"
"Thunder and Lightning";"Zibens un Pērkons"
"Thunderbird";"Zibens"
"Thunderbolt";"Zibens"
"Time Display Format: ";"Laika formāts: "
"Time Zone :";"Laika zona :"
"Time and Date:";"Laika zona :"
"Time speed : ";"Laika ātrums : "
"Titan";"Titāns"
"Titania";"Titāns"
"Toad";"Zelta Zivs"
"Toggle Moon Scaling";"Rādīt Mēnesi redzamajā izmērā"
"Toggle Script Recording";""
"Toggle Video Frame Recording";""
"Toggle fullscreen if possible.";""
"Toilet";"Tualete"
"Track Selected Object";""
"Triangle";"Trijstūris"
"Triangulum";"Trīsstūris"
"Triangulum Australe";"Dienvidu Trīsstūris"
"Trinculo";"Trīsstūris"
