"%s: Bad command line argument(s)\n";"%s: Linia de comandă conține comenzi greșite.\n"
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";""
"Van Maanen 2";""
"Vashista";""
"Vega";""
"Vela";"Pânza"
"Video Offset: ";""
"Video Shear: ";""
"Vindemiatrix";""
"Virgo";"Fecioara"
"Vishakha";""
"Voice of Joy";"Vocea Fericirii"
"Volans";"Peștele Zburător"
"Vulpecula";"Vulpea"
"W";"V"
"Wall";"Zidul"
"Wasat";""
"Wazn";""
"Weaving Girl";"Țesătoarea"
"Well";"Cumpăna"
"Western";""
"Western (color)";""
"Western (modern)";""
"Western Door";"Ușa Vestică"
"Wezen";""
"Willow";"Salcia"
"Wings";"Aripile"
"Winnowing Basket";"Coșul de Cules"
"Wolf's Mouth";""
"Woman's Bed";"Patul Femeii"
"Woman's Cart";""
"Year";"Anul"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Da"
"Yildun";""
"Zaniah";""
"Zaurak";""
"Zavijava";""
"Zibal";""
"Zoom Duration: ";"Durata focalizării: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";""
"Zoom out (planet and satellites views)";""
"Zoom to selected object";""
"Zosma";""
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"shimbă la \"apply\"."
"kly";""
"ly";""
