"%s: Bad command line argument(s)\n";"%s: Pogrešni argument(i) u komandnoj liniji\n"
"Toggle Moon Scaling";""
"Toggle Script Recording";""
"Toggle Video Frame Recording";""
"Toggle fullscreen if possible.";""
"Toilet";""
"Track Selected Object";""
"Triangle";"Trokut"
"Triangulum";"Trokut"
"Triangulum Australe";"Južni trokut"
"Trinculo";""
"Tripod";""
"Triton";""
"Tropic Lines";""
"Truncated Projection";""
"Try `%s --help' for more information.\n";"Pokušajte `%s --help' za više informacija.\n"
"Tucana";"Tukan"
"Turtle";""
"Twinkling: ";"Treperenje: "
"Two Jaws";"Dvije čeljusti"
"Two Placed Far Apart";""
"Two Poles";"Dva štapa"
"Two Sunbeams";""
"Two in Front";""
"Type: ";"Tip "
"USB Script: ";"Skripta na USB mediju: "
"Umbriel";""
"Unselect";""
"Unukalhai";""
"Update me via Internet: ";"Ažuriraj program putem Interneta: "
"Uranus";"Uran"
"Ursa Major";"Veliki Medvjed"
"Ursa Minor";"Mali Medvjed"
"Using System Default Time Zone";"Koristim osnovnu sistemsku vremensku zonu"
"Uttarabhadrapad-1";""
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";""
"Van Maanen 2";""
"Vashista";""
"Vega";""
"Vela";"Jedro"
"Venus";"Venera"
"Video Offset: ";""
"Video Shear: ";""
"Vindemiatrix";""
"Virgo";"Djevica"
"Vishakha";""
"Voice of Joy";""
"Volans";"Leteća riba"
"Vulpecula";"Lisica"
"Wall";"Zid"
"Wasat";""
"Waty Bekety";""
"Wazn";""
"Weaving Girl";""
"Well";"Izvor"
"Western";"Zapadni"
"Western (color)";""
"Western (modern)";""
"Western Door";""
"Wezen";""
"Willow";"Vilenjak"
"Wings";"Krila"
"Winnowing Basket";""
"Wolf's Mouth";""
"Woman's Bed";""
"Woman's Cart";""
"Xuanyuan";""
"Year";"Godina"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Da"
"Yildun";""
"Zaniah";""
"Zaofu";""
"Zaurak";""
"Zavijava";""
"Zibal";""
"Zoom Duration: ";"Trajanje uvećavanja: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";""
"Zoom out (planet and satellites views)";""
"Zoom to selected object";""
"Zosma";""
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"promjeni za primjenu."
"kly";""
"ly";""
